name,address,amenities1,amenities2,amenities3,amenities4,amenities5,amenities6,amenities7,amenities8,amenities9,amenities10,rooms1,rooms2,rooms3,rooms4,rooms5,rooms6,price,rating,numReviews,lat,lon
Carragh Lodge,"Station Road Rosslare Harbour, Rosslare Ireland",22,3,3,23,12,8,58,13,,,201,,,,,, Available Upon Request,4.5,19 reviews,52.2527565,-6.3351365
Shanowen Holiday Apartments,"Shanowen Road, Santry D9 Ireland",22,13,54,47,57,,,,,,Unknown,,,,,, Available Upon Request,3,10 reviews,53.3888801,-6.2534962
Rosslare Strand B&B,"Grange Road, Rosslare Ireland",23,12,8,13,,,,,,,Unknown,,,,,, Available Upon Request,Unknown,Unknown,52.2759883,-6.3978463
ODwyers The Villa,Waterville Ireland,24,3,1,33,45,62,13,89,,,201,200,,,,, Available Upon Request,4,44 reviews,51.8271274,-10.1718452
Town Clock B&B,"6 Upper Main Street, Buncrana Ireland",24,3,23,8,45,35,2,13,,,Unknown,,,,,, Available Upon Request,4.5,39 reviews,55.1353622,-7.4542748
Lismar Guest House,"8-9 Stapleton Place, Dundalk Ireland",24,3,3,58,13,92,99,57,,,201,200,,,,,89,3.5,82 reviews,53.9985577,-6.4061097
An Sugan,"41 Wolfe Tone Street Co.Cork, Clonakilty 00000 Ireland",24,3,3,21,13,,,,,,201,,,,,, Available Upon Request,4,135 reviews,51.6231743,-8.8858152
The Westbury,"Balfe Street, Dublin D02 R972 Ireland",25,3,11,1,35,69,73,63,,,202,201,204,,,,296,4.5,"5,107 reviews",53.341107,-6.261504
Rosehill B&B,"Rosehill, Rosslare Ireland",26,37,55,78, Hair dryer,,,,,,Unknown,,,,,, Available Upon Request,5,3 reviews,52.26218885,-6.381555205
Aran Islands Camping & Glamping,"Frenchmans 12, Inis Mor Aran Islands, Co. Galway, Province of Connacht H91 F65P Ireland",3,12,32,79,13, Picnic area,57,82,,,201,200,,,,, Available Upon Request,5,234 reviews,53.350127,-6.253281
The Blue Door House,"Renard Road, Cahersiveen V23 V274 Ireland",5,3,4,14,Family Friendly,,,,,,Suites,200,,,,, Available Upon Request,Unknown,Unknown,51.94648,-10.229218
